CITY,COUNTY,LATITUDE,LONGITUDE
Alachua,Alachua,29.796996,-82.480531
Alford,Jackson,30.714106,-85.34838
Altamonte Springs,Seminole,28.662728,-81.371908
Altha,Calhoun,30.531882,-85.17043
Altoona,Lake,29.021935,-81.632322
Alturas,Polk,27.871389,-81.715278
Alva,Lee,26.714657,-81.635055
Anna Maria,Manatee,27.530833,-82.733611
Anthony,Marion,29.304785,-82.126157
Apalachicola,Franklin,29.725465,-85.006264
Apollo Beach,Hillsborough,27.771553,-82.410199
Apopka,Orange,28.661865,-81.485149
Arcadia,De Soto,27.1861,-81.8095
Archer,Alachua,29.559738,-82.51084
Argyle,Walton,30.719444,-86.044444
Aripeka,Pasco,28.431944,-82.664444
Astatula,Lake,28.708754,-81.719473
Astor,Lake,29.165031,-81.539929
Atlantic Beach,Duval,30.348258,-81.415866
Auburndale,Polk,28.072443,-81.812234
Ave Maria,Collier,26.33623,-81.43804
Avon Park,Highlands,27.600085,-81.501486
Babson Park,Polk,27.831698,-81.534221
Bagdad,Santa Rosa,30.598611,-87.031111
Baker,Okaloosa,30.831569,-86.677015
Bal Harbour,Miami-Dade,25.89365,-80.12644
Balm,Hillsborough,27.759167,-82.261389
Barberville,Volusia,29.186944,-81.421111
Bartow,Polk,27.895664,-81.812684
Bascom,Jackson,30.951365,-85.09722
Bay Pines,Pinellas,27.813889,-82.778333
Bell,Gilchrist,29.78373,-82.871106
Belle Glade,Palm Beach,26.684289,-80.672392
Belleair,Pinellas,27.9659,-82.8062
Belleair Beach,Pinellas,27.9231,-82.8432
Belleview,Marion,29.052,-82.042
Beverly Hills,Citrus,28.9166,-82.4583
Big Pine Key,Monroe,24.679996,-81.362029
Blountstown,Calhoun,30.4394,-85.062022
Boca Grande,Lee,26.748611,-82.262222
Boca Raton,Palm Beach,26.3583,-80.0833
Bokeelia,Lee,26.662726,-82.140064
Bonifay,Holmes,30.846369,-85.689962
Bonita Springs,Lee,26.3869,-81.733
Bostwick,Putnam,29.773889,-81.637222
Bowling Green,Hardee,27.627738,-81.845058
Boynton Beach,Palm Beach,26.525,-80.0666
Bradenton,Manatee,27.502778,-82.513889
Bradenton Beach,Manatee,27.515149,-82.721027
Bradley,Polk,27.791389,-81.858333
Brandon,Hillsborough,27.9378,-82.2861
Branford,Suwannee,29.939472,-82.899288
Bristol,Liberty,30.422279,-84.946558
Bronson,Levy,29.460952,-82.635644
Brooker,Bradford,29.919028,-82.295634
Brooksville,Hernando,28.565805,-82.373674
Bryant,Palm Beach,26.858889,-80.633889
Bryceville,Nassau,30.419274,-81.972397
Bunnell,Flagler,29.45616,-81.324431
Bushnell,Sumter,28.661062,-82.155297
Callahan,Nassau,30.551958,-81.814465
Campbellton,Jackson,30.95629,-85.376596
Canal Point,Palm Beach,26.859279,-80.629931
Candler,Marion,29.071111,-81.968333
Cantonment,Escambia,30.614253,-87.325052
Cape Canaveral,Brevard,28.39034,-80.604267
Cape Coral,Lee,26.57746,-81.952243
Captiva,Lee,26.750541,-82.261017
Carrabelle,Franklin,29.869205,-84.635845
Caryville,Washington,30.796878,-85.799787
Cassadaga,Volusia,28.966111,-81.236111
Casselberry,Seminole,28.661671,-81.312215
Cedar Key,Levy,29.171006,-83.016793
Center Hill,Sumter,28.663484,-81.996289
Century,Escambia,30.968742,-87.321582
Chattahoochee,Gadsden,30.683394,-84.828044
Chiefland,Levy,29.483243,-82.880896
Chipley,Washington,30.710658,-85.548646
Chokoloskee,Collier,25.8125,-81.362222
Christmas,Orange,28.546244,-81.01157
Citra,Marion,29.39182,-82.106222
Clarcona,Orange,28.6125,-81.498889
Clarksville,Calhoun,30.356834,-85.189806
Clearwater,Pinellas,27.9799,-82.7806
Clearwater Beach,Pinellas,27.9831,-82.8229
Clermont,Lake,28.552541,-81.757407
Cleveland,Charlotte,26.9584,-81.9897
Clewiston,Hendry,26.717171,-80.949249
Cocoa,Brevard,28.367183,-80.746455
Cocoa Beach,Brevard,28.332451,-80.612066
Coconut Creek,Broward,26.2441,-80.2066
Coleman,Sumter,28.799444,-82.070278
Connerton,Pasco,28.28862,-82.48769
Copeland,Collier,25.953333,-81.356111
Coral Gables,Miami-Dade,25.71029,-80.26865
Coral Springs,Miami-Dade,26.27251,-80.25418
Cortez,Manatee,27.472686,-82.700642
Cottondale,Jackson,30.800359,-85.384672
Crawfordville,Wakulla,30.175833,-84.375278
Crescent City,Putnam,29.445438,-81.557909
Crestview,Okaloosa,30.77061,-86.553678
Cross City,Dixie,29.634167,-83.125278
Crystal Beach,Pinellas,28.091111,-82.78
Crystal River,Citrus,28.9593,-82.6259
Crystal Springs,Pasco,28.181111,-82.157778
Cutler Bay,Miami-Dade,25.5808,-80.3469
Cypress,Jackson,30.713056,-85.073889
Dade City,Pasco,28.4297,-82.2082
Dania,Broward,26.047557,-80.144728
Davenport,Polk,28.22,-81.6205
Davie,Broward,26.0765,-80.2521
Day,Lafayette,30.149666,-83.285052
Daytona Beach,Volusia,29.201168,-81.037071
De Leon Springs,Volusia,29.116592,-81.348762
