County Name,City Name,Description
Palm Beach,Acacia Villas,census designated place
Alachua,Alachua,city
Orange,Alafaya,census designated place
Jackson,Alford,town
Santa Rosa,Allentown,census designated place
Seminole,Altamonte Springs,city
Calhoun,Altha,town
Lake,Altoona,census designated place
Polk,Alturas,census designated place
Lee,Alva,census designated place
Levy,Andrews,census designated place
Manatee,Anna Maria,city
Franklin,Apalachicola,city
Hillsborough,Apollo Beach,census designated place
Orange,Apopka,city
Desoto,Arcadia,city
Alachua,Archer,city
Hernando,Aripeka,census designated place
Pasco,Aripeka,census designated place
Clay,Asbury Lake,census designated place
Lake,Astatula,town
Lake,Astor,census designated place
Duval,Atlantic Beach,city
Palm Beach,Atlantis,city
Polk,Auburndale,city
Jefferson,Aucilla,census designated place
Santa Rosa,Avalon,census designated place
Miami-Dade,Aventura,city
Highlands,Avon Park,city
Orange,Azalea Park,census designated place
Polk,Babson Park,census designated place
Santa Rosa,Bagdad,census designated place
Miami-Dade,Bal Harbour,village
Duval,Baldwin,town
Hillsborough,Balm,census designated place
Pinellas,Bardmoor,census designated place
Polk,Bartow,city
Jackson,Bascom,town
Miami-Dade,Bay Harbor Islands,town
Orange,Bay Hill,census designated place
Orange,Bay Lake,city
Pinellas,Bay Pines,census designated place
Pasco,Bayonet Point,census designated place
Hernando,Bayport,census designated place
Manatee,Bayshore Gardens,census designated place
Pasco,Beacon Square,census designated place
Pinellas,Bear Creek,census designated place
Sarasota,Bee Ridge,census designated place
Gilchrist,Bell,town
Clay,Bellair-Meadowbrook,census designated place
Palm Beach,Belle Glade,city
Orange,Belle Isle,city
Pinellas,Belleair,town
Pinellas,Belleair Beach,city
Pinellas,Belleair Bluffs,city
Pinellas,Belleair Shore,town
Marion,Belleview,city
Escambia,Bellview,census designated place
Santa Rosa,Berrydale,census designated place
Flagler,Beverly Beach,town
Citrus,Beverly Hills,census designated place
Monroe,Big Coppitt Key,census designated place
Monroe,Big Pine Key,census designated place
Miami-Dade,Biscayne Park,village
Orange,Bithlo,census designated place
Citrus,Black Diamond,census designated place
Seminole,Black Hammock,census designated place
Hillsborough,Bloomingdale,census designated place
Calhoun,Blountstown,city
Palm Beach,Boca Raton,city
Lee,Bokeelia,census designated place
Holmes,Bonifay,city
Lee,Bonita Springs,city
Broward,Boulevard Gardens,census designated place
Hardee,Bowling Green,city
Palm Beach,Boynton Beach,city
Manatee,Bradenton,city
Manatee,Bradenton Beach,city
Polk,Bradley Junction,census designated place
Hillsborough,Brandon,census designated place
Suwannee,Branford,town
Escambia,Brent,census designated place
Palm Beach,Briny Breezes,town
Liberty,Bristol,city
Broward,Broadview Park,census designated place
Levy,Bronson,town
Bradford,Brooker,city
Hernando,Brookridge,census designated place
Hernando,Brooksville,city
Santa Rosa,Brownsdale,census designated place
Miami-Dade,Brownsville,census designated place
Glades,Buckhead Ridge,census designated place
Lee,Buckingham,census designated place
Osceola,Buenaventura Lakes,census designated place
Flagler,Bunnell,city
Lee,Burnt Store Marina,census designated place
Sumter,Bushnell,city
Saint Johns,Butler Beach,census designated place
Palm Beach,Cabana Colony,census designated place
Nassau,Callahan,town
Bay,Callaway,city
Osceola,Campbell,census designated place
Jackson,Campbellton,town
