Location Name,City,Number of Courts,County,Latitude,Longitude
Hal Brady Recreation Complex,Alachua,6 courts,Alachua,29.796996,-82.480531
Eastmonte Park,Altamonte Springs,4 courts,Seminole,28.662728,-81.371908
Sanlando Park,Altamonte Springs,10 courts,Seminole,28.662728,-81.371908
Westmonte Park,Altamonte Springs,3 courts,Seminole,28.662728,-81.371908
Lake Brantley South Gym,Altamonte Springs,2 courts,Seminole,28.662728,-81.371908
River Hall Country Club,Alva,4 courts,Lee,26.714657,-81.635055
Anna Maria Island Community Center,Anna Maria,3 courts,Manatee,27.530833,-82.733611
The Rowdy Pickle,Atlantic Beach,1 court,Duval,30.348258,-81.415866
Donner Park Community Center,Atlantic Beach,6 courts,Duval,30.348258,-81.415866
Sevilla Condominium,Atlantic Beach,4 courts,Duval,30.348258,-81.415866
Auburndale Community Center,Auburndale,8 courts,Polk,28.072443,-81.812234
Del Webb Naples,Ave Maria,12 courts,Collier,26.33623,-81.43804
Reflections,Avon Park,2 courts,Highlands,27.600085,-81.501486
South Florida Community College,Avon Park,2 courts,Highlands,27.600085,-81.501486
Haulover Park,Bal Harbour,4 courts,Miami-Dade,25.89365,-80.12644
Dimmitt Community Center,Belleair,3 courts,Pinellas,27.9659,-82.8062
clearwater beach rec center,Belleair Beach,2 courts,Pinellas,27.9231,-82.8432
Beverly Hills Pickleball and Tennis Court,Beverly Hills,2 courts,Citrus,28.9166,-82.4583
Central Ridge Community Center,Beverly Hills,2 courts,Citrus,28.9166,-82.4583
Pine Ridge Property Owners,Beverly Hills,1 court,Citrus,28.9166,-82.4583
Sunshine Key Rv Resort,Big Pine Key,2 courts,Monroe,24.679996,-81.362029
Big Pine Key Park,Big Pine Key,2 courts,Monroe,24.679996,-81.362029
Blue Heron Community Park,Big Pine Key,3 courts,Monroe,24.679996,-81.362029
Yacht & Racquet Club of Boca Raton,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
Hidden Lakes Park,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
Sand Pine Park,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
Patch Reef Park,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
Boca Tierra Park,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
University Woodlands Park,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
Woodfield Country Club,Boca Raton,8 courts,Palm Beach,26.3583,-80.0833
Broken Sound Country Club,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Sea Ranch Club Of Boca Raton,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
El Rio Park,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Boca Bridges Racquet Club,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Burt Aaronson South County Regional Park,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
Mansfield Courts,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
St. Andrews Country Club,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
South County Regional Park,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
The Boca Raton,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Hillsboro El Rio Park South,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Sugar Sand Park,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
Boca Chase,Boca Raton,2 courts,Palm Beach,26.3583,-80.0833
Hillsboro El Rio Park North,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Boca Raton Century Village,Boca Raton,4 courts,Palm Beach,26.3583,-80.0833
Life Time - Boca Raton,Boca Raton,8 courts,Palm Beach,26.3583,-80.0833
Boca Grove Golf and Tennis Club,Boca Raton,5 courts,Palm Beach,26.3583,-80.0833
Lotus Racquet Club,Boca Raton,6 courts,Palm Beach,26.3583,-80.0833
The Polo Club,Boca Raton,8 courts,Palm Beach,26.3583,-80.0833
Citrus Park,Bonita Springs,4 courts,Lee,26.3869,-81.733
City Of  Bonita Springs Recreation Center,Bonita Springs,2 courts,Lee,26.3869,-81.733
Bonita Springs YMCA,Bonita Springs,10 courts,Lee,26.3869,-81.733
Pelican Landing Community Center,Bonita Springs,6 courts,Lee,26.3869,-81.733
Imperial Bonita Estates,Bonita Springs,4 courts,Lee,26.3869,-81.733
Riverwalk Park,Bonita Springs,6 courts,Lee,26.3869,-81.733
Highland Woods Country Club,Bonita Springs,4 courts,Lee,26.3869,-81.733
Torrey Trails RV & Golf Resort,Bowling Green,2 courts,Hardee,27.627738,-81.845058
Quail Ridge Country Club,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
YMCA Boynton Beach,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
Aberdeen Country Club,Boynton Beach,15 courts,Palm Beach,26.525,-80.0666
Coral Lakes,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
Aberdeen East,Boynton Beach,6 courts,Palm Beach,26.525,-80.0666
Tuscany Bay Clubhouse,Boynton Beach,3 courts,Palm Beach,26.525,-80.0666
Cascades Lakes,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Avalon Estates,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
Limetree Condominium,Boynton Beach,3 courts,Palm Beach,26.525,-80.0666
Valencia Isles Clubhouse,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
Ezell Hester  Jr. Community Center,Boynton Beach,2 courts,Palm Beach,26.525,-80.0666
Mandel JCC,Boynton Beach,3 courts,Palm Beach,26.525,-80.0666
Palm Isles,Boynton Beach,6 courts,Palm Beach,26.525,-80.0666
Venetian Isle Tennis Center,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Valencia Sound,Boynton Beach,11 courts,Palm Beach,26.525,-80.0666
Valencia Bay,Boynton Beach,6 courts,Palm Beach,26.525,-80.0666
Valencia Cove,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Valencia Reserve Club,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Valencia Pointe Club,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Boynton Beach Tennis Center,Boynton Beach,4 courts,Palm Beach,26.525,-80.0666
Caloosa Park,Boynton Beach,8 courts,Palm Beach,26.525,-80.0666
Bradenton Tropical Palms,Bradenton,3 courts,Manatee,27.502778,-82.513889
The Racquet Club El Conquistador,Bradenton,6 courts,Manatee,27.502778,-82.513889
Bradenton YMCA,Bradenton,2 courts,Manatee,27.502778,-82.513889
Bradenton Country Club,Bradenton,6 courts,Manatee,27.502778,-82.513889
17th Avenue West Park,Bradenton,6 courts,Manatee,27.502778,-82.513889
Country Club East,Bradenton,8 courts,Manatee,27.502778,-82.513889
Heritage Harbour H.O.A,Bradenton,5 courts,Manatee,27.502778,-82.513889
Jesse P Miller,Bradenton,2 courts,Manatee,27.502778,-82.513889
Arbor Terrace Rv Resort,Bradenton,2 courts,Manatee,27.502778,-82.513889
G T Bray Recreation Complex,Bradenton,20 courts,Manatee,27.502778,-82.513889
Jessie P. Miller Elementary School,Bradenton,4 courts,Manatee,27.502778,-82.513889
John H Marble Recreation Complex,Bradenton,2 courts,Manatee,27.502778,-82.513889
Lakewood National,Bradenton,4 courts,Manatee,27.502778,-82.513889
Lakewood National Golf Club,Bradenton,4 courts,Manatee,27.502778,-82.513889
Saints Peter & Paul the Apostles Catholic Church,Bradenton,3 courts,Manatee,27.502778,-82.513889
Lakewood Ranch Community Park,Bradenton,5 courts,Manatee,27.502778,-82.513889
W D Sugg Middle School,Bradenton,5 courts,Manatee,27.502778,-82.513889
Lakewood Ranch High School Park,Bradenton,6 courts,Manatee,27.502778,-82.513889
Martha B King Middle School,Bradenton,3 courts,Manatee,27.502778,-82.513889
Palma Sola Harbour Condominiums,Bradenton,2 courts,Manatee,27.502778,-82.513889
River Dance Condominiums,Bradenton,3 courts,Manatee,27.502778,-82.513889
University Place Community Park,Bradenton,2 courts,Manatee,27.502778,-82.513889
Lakewood Ranch High School,Bradenton,6 courts,Manatee,27.502778,-82.513889
Pine Bay Forest Condominiums,Bradenton,2 courts,Manatee,27.502778,-82.513889
Lou Barolo South Park,Bradenton Beach,1 court,Manatee,27.515149,-82.721027
The MAC Gym at FBC Brandon,Brandon,2 courts,Hillsborough,27.9378,-82.2861
Brandon Sports and Aquatic Center,Brandon,10 courts,Hillsborough,27.9378,-82.2861
High Point Community Property Owners,Brooksville,8 courts,Hernando,28.565805,-82.373674
Hernando Park,Brooksville,6 courts,Hernando,28.565805,-82.373674
Brookridge,Brooksville,2 courts,Hernando,28.565805,-82.373674
Belle Parc RV Resort,Brooksville,3 courts,Hernando,28.565805,-82.373674
Old Dixie Community Park,Bunnell,2 courts,Flagler,29.45616,-81.324431
